User Story ID,User Story,Task ID,Title,URL,Assignees,Status,Story Type,Estimate,Start date,Target date
,,83,Plan improvements for sprint review,https://github.com/COS420-S2025/TeamF/issues/83,Holy-Davisan,Done,Non-technical,,,
,,129,Refactor backlog excel behavior to acknowledge the description based workflow.,https://github.com/COS420-S2025/TeamF/issues/129,"a-daniel-pi, SillyCatEnthusiast",Done,Non-technical,,,
,,132,Pick 10 issues each and get started.,https://github.com/COS420-S2025/TeamF/issues/132,"a-daniel-pi, SillyCatEnthusiast, TQFrisk",Done,Non-technical,,,
,,131,Create additional issues,https://github.com/COS420-S2025/TeamF/issues/131,Holy-Davisan,Done,Non-technical,,,
,,77,Cut back calendar if needed,https://github.com/COS420-S2025/TeamF/issues/77,Holy-Davisan,Done,Non-technical,,,
,,78,Collect tasks for team,https://github.com/COS420-S2025/TeamF/issues/78,,Done,Non-technical,,,
,,87,Split infrastructure setup,https://github.com/COS420-S2025/TeamF/issues/87,SillyCatEnthusiast,Done,Non-technical,,,
,,108,Prepare sprint review,https://github.com/COS420-S2025/TeamF/issues/108,Holy-Davisan,Done,Non-technical,,,
,,90,Revise SRS,https://github.com/COS420-S2025/TeamF/issues/90,TQFrisk,Done,Non-technical,,,
,,91,Define specific deliverables,https://github.com/COS420-S2025/TeamF/issues/91,Holy-Davisan,Done,Non-technical,,,
,,92,Update KANBAN for milestone,https://github.com/COS420-S2025/TeamF/issues/92,Holy-Davisan,Done,Non-technical,,,
,,139,Correct GitHub Issue’s Protocol,https://github.com/COS420-S2025/TeamF/issues/139,,Done,Non-technical,,,
,,140,Correct GitHub Issue’s Protocol,https://github.com/COS420-S2025/TeamF/issues/140,Holy-Davisan,Done,Non-technical,,,
,,109,Prepare milestone feedback,https://github.com/COS420-S2025/TeamF/issues/109,Holy-Davisan,Done,Non-technical,,,
,,117,Update KANBAN instructions,https://github.com/COS420-S2025/TeamF/issues/117,Holy-Davisan,Done,Non-technical,,,
,,118,Define next sprint tasks,https://github.com/COS420-S2025/TeamF/issues/118,Holy-Davisan,Done,Non-technical,,,
,,64,Create Sprint Backlog 3: Review consistency,https://github.com/COS420-S2025/TeamF/issues/64,Holy-Davisan,Done,Non-technical,,,
,,66,Review SRS,https://github.com/COS420-S2025/TeamF/issues/66,gavinmpierce,Done,Non-technical,,,
,,67,Update KANBAN and GitHub,https://github.com/COS420-S2025/TeamF/issues/67,Holy-Davisan,Done,Non-technical,,,
,,134,Fix the Backlogs,https://github.com/COS420-S2025/TeamF/issues/134,"a-daniel-pi, SillyCatEnthusiast",Done,Non-technical,,,
,,142,Homepage Navigation Blocked,https://github.com/COS420-S2025/TeamF/issues/142,Holy-Davisan,Done,Non-technical,,,
,,143,Backlog Issue Handling Update,https://github.com/COS420-S2025/TeamF/issues/143,"a-daniel-pi, SillyCatEnthusiast",Done,Non-technical,,,
,,149,Create issue example,https://github.com/COS420-S2025/TeamF/issues/149,"a-daniel-pi, gavinmpierce, Holy-Davisan, SillyCatEnthusiast, TQFrisk",Done,Non-technical,,,
,,161,Create documentation checklist,https://github.com/COS420-S2025/TeamF/issues/161,gavinmpierce,Done,Non-technical,,,
,,128,Finalize Deliverable 3,https://github.com/COS420-S2025/TeamF/issues/128,Holy-Davisan,Done,Non-technical,,,
,,162,Apply checklist to all deliverables,https://github.com/COS420-S2025/TeamF/issues/162,gavinmpierce,Done,Non-technical,,,
,,163,Final proofreading,https://github.com/COS420-S2025/TeamF/issues/163,Holy-Davisan,Done,Non-technical,,,
,,164,Prepare submission package,https://github.com/COS420-S2025/TeamF/issues/164,Holy-Davisan,Done,Non-technical,,,
,,152,Audit Deliverable 1 documentation,https://github.com/COS420-S2025/TeamF/issues/152,gavinmpierce,Done,Non-technical,,,
,,153,Refactor Deliverable 1 formatting,https://github.com/COS420-S2025/TeamF/issues/153,gavinmpierce,Done,Non-technical,,,
,,154,Standardize Deliverable 1 terminology,https://github.com/COS420-S2025/TeamF/issues/154,gavinmpierce,Done,Non-technical,,,
,,155,Audit Deliverable 2 documentation,https://github.com/COS420-S2025/TeamF/issues/155,gavinmpierce,Done,Non-technical,,,
,,156,Refactor Deliverable 2 structure,https://github.com/COS420-S2025/TeamF/issues/156,gavinmpierce,Done,Non-technical,,,
,,157,Validate Deliverable 2 technical accuracy,https://github.com/COS420-S2025/TeamF/issues/157,gavinmpierce,Done,Non-technical,,,
,,158,Audit Deliverable 3 documentation,https://github.com/COS420-S2025/TeamF/issues/158,gavinmpierce,Done,Non-technical,,,
,,159,Refine Deliverable 3 clarity,https://github.com/COS420-S2025/TeamF/issues/159,gavinmpierce,Done,Non-technical,,,
,,160,Align Deliverable 3 with previous deliverables,https://github.com/COS420-S2025/TeamF/issues/160,gavinmpierce,Done,Non-technical,,,
,,122,Create contribution video for Member 1,https://github.com/COS420-S2025/TeamF/issues/122,gavinmpierce,Done,Non-technical,,,
,,123,Create contribution video for Member 2,https://github.com/COS420-S2025/TeamF/issues/123,a-daniel-pi,Done,Non-technical,,,
,,124,Create contribution video for Member 3,https://github.com/COS420-S2025/TeamF/issues/124,TQFrisk,Done,Non-technical,,,
,,125,Create contribution video for Member 4,https://github.com/COS420-S2025/TeamF/issues/125,SillyCatEnthusiast,Done,Non-technical,,,
,,126,Create contribution video for Member 5,https://github.com/COS420-S2025/TeamF/issues/126,Holy-Davisan,Done,Non-technical,,,
,,133,Make Sure Everyone has submitted their video so I can submit Del3,https://github.com/COS420-S2025/TeamF/issues/133,"gavinmpierce, Holy-Davisan",Done,Non-technical,,,
,,127,Compile contribution videos,https://github.com/COS420-S2025/TeamF/issues/127,Holy-Davisan,Done,Non-technical,,,
,,210,Review Deliverable 2 documentation for schema accuracy,https://github.com/COS420-S2025/TeamF/issues/210,"gavinmpierce, TQFrisk",Todo,Non-technical,,,
,,211,Update Deliverable 2 documentation,https://github.com/COS420-S2025/TeamF/issues/211,"gavinmpierce, TQFrisk",Todo,Non-technical,,,
,,215,Prioritize object model implementation as sprint blocker,https://github.com/COS420-S2025/TeamF/issues/215,,Todo,Non-technical,,,
3,Create product documentation and workflows,28,Produce the SRS with approx 22 functional requirements and n<15 non-functional requirements.,https://github.com/COS420-S2025/TeamF/issues/28,TQFrisk,Done,Non-technical,3,"Feb 20, 2026","Feb 24, 2026"
,,32,Comment-Correction (Description) 6/7,https://github.com/COS420-S2025/TeamF/issues/32,TQFrisk,Done,Non-technical,,,
,,33,Comment-Correction 4/7 (Description),https://github.com/COS420-S2025/TeamF/issues/33,TQFrisk,Done,Non-technical,,,
,,34,Comment-Correction 3/7 (Deliverable 0),https://github.com/COS420-S2025/TeamF/issues/34,TQFrisk,Done,Non-technical,,,
,,12,Fix Group HW1,https://github.com/COS420-S2025/TeamF/issues/12,"a-daniel-pi, SillyCatEnthusiast",Done,Non-technical,,,
,,14,resubmit task 1,https://github.com/COS420-S2025/TeamF/issues/14,gavinmpierce,Done,Non-technical,,,
,,13,Make app name,https://github.com/COS420-S2025/TeamF/issues/13,gavinmpierce,Done,Non-technical,,,
,,40,Organize comments of Deliverable one,https://github.com/COS420-S2025/TeamF/issues/40,TQFrisk,Done,Non-technical,,,
,,41,D-2 SRS n > 15 Functional Requirements.,https://github.com/COS420-S2025/TeamF/issues/41,TQFrisk,Done,Non-technical,,,
,,42,D-2 n>10 non-functional Requirements,https://github.com/COS420-S2025/TeamF/issues/42,TQFrisk,Done,Non-technical,,,
,,43,Architectural Design Article,https://github.com/COS420-S2025/TeamF/issues/43,Holy-Davisan,Done,Non-technical,,,
,,44,Consolidate the teams use cases descriptions,https://github.com/COS420-S2025/TeamF/issues/44,TQFrisk,Done,Non-technical,,,
,,45,Use case Diagram consolidation,https://github.com/COS420-S2025/TeamF/issues/45,,Done,Non-technical,,,
,,80,Implement online model integration,https://github.com/COS420-S2025/TeamF/issues/80,Holy-Davisan,Done,Non-technical,,,
,,113,Integrate calendar events,https://github.com/COS420-S2025/TeamF/issues/113,,Done,Non-technical,,,
,,116,Update README,https://github.com/COS420-S2025/TeamF/issues/116,Holy-Davisan,Done,Non-technical,,,
,,85,Work on class diagram,https://github.com/COS420-S2025/TeamF/issues/85,"a-daniel-pi, TQFrisk",Done,Non-technical,,,
,,86,Work on domain model,https://github.com/COS420-S2025/TeamF/issues/86,TQFrisk,Done,Non-technical,,,
,,102,Update domain model (part 1),https://github.com/COS420-S2025/TeamF/issues/102,gavinmpierce,Done,Non-technical,,,
,,103,Update domain model (part 2),https://github.com/COS420-S2025/TeamF/issues/103,"gavinmpierce, TQFrisk",Done,Non-technical,,,
,,68,Update functional requirements,https://github.com/COS420-S2025/TeamF/issues/68,TQFrisk,Done,Non-technical,,,
,,69,Update nonfunctional requirements,https://github.com/COS420-S2025/TeamF/issues/69,TQFrisk,Todo,Non-technical,,,
,,72,Match types to domain model,https://github.com/COS420-S2025/TeamF/issues/72,gavinmpierce,Todo,Non-technical,,,
,,73,Assist with online model,https://github.com/COS420-S2025/TeamF/issues/73,Holy-Davisan,Todo,Non-technical,,,
,,187,ICS Research and Resolution Planning,https://github.com/COS420-S2025/TeamF/issues/187,"a-daniel-pi, Holy-Davisan",Todo,Non-technical,,,
,,188,Research ICS parsing libraries,https://github.com/COS420-S2025/TeamF/issues/188,"a-daniel-pi, Holy-Davisan",Todo,Technical,,,
,,189,Analyze and document previous ICS failures,https://github.com/COS420-S2025/TeamF/issues/189,"a-daniel-pi, Holy-Davisan",Todo,Technical,,,
,,190,Propose ICS implementation fix strategy,https://github.com/COS420-S2025/TeamF/issues/190,"a-daniel-pi, Holy-Davisan",Todo,Technical,,,
,,213,Document ICS system failure root cause,https://github.com/COS420-S2025/TeamF/issues/213,"gavinmpierce, TQFrisk",Todo,Technical,,,
,,198,Standardize header styling and border weight,https://github.com/COS420-S2025/TeamF/issues/198,"gavinmpierce, Holy-Davisan",Todo,Technical,,,
,,207,Prepare edit modal implementation plan,https://github.com/COS420-S2025/TeamF/issues/207,a-daniel-pi,Todo,Technical,,,
,,176,Update JSON contract for all objects,https://github.com/COS420-S2025/TeamF/issues/176,"gavinmpierce, TQFrisk",Todo,Technical,,,
,,177,Update UML diagram,https://github.com/COS420-S2025/TeamF/issues/177,"gavinmpierce, TQFrisk",Todo,Non-technical,,,
,,183,Data Flow and Middleware Research,https://github.com/COS420-S2025/TeamF/issues/183,Holy-Davisan,Todo,Non-technical,,,
,,185,Scaffold middleware services,https://github.com/COS420-S2025/TeamF/issues/185,Holy-Davisan,Todo,Technical,,,
,,197,Fix mobile font sizing across components,https://github.com/COS420-S2025/TeamF/issues/197,"gavinmpierce, Holy-Davisan",Todo,Technical,,,
4,Prepare initial code so that we have some source code to work off of,19,Install basic dependencies for react applications.,https://github.com/COS420-S2025/TeamF/issues/19,Holy-Davisan,Done,Technical,,"Feb 20, 2026","Feb 21, 2026"
,,23,Folder Procedures and Management Acknowledgement,https://github.com/COS420-S2025/TeamF/issues/23,"a-daniel-pi, gavinmpierce, SillyCatEnthusiast, TQFrisk",Done,Technical,2,"Feb 20, 2026","Feb 21, 2026"
,,24,Task/event components,https://github.com/COS420-S2025/TeamF/issues/24,TQFrisk,Done,Technical,1,,
,,25,Construct the basic UX elements discussed in the meeting and produce some successful functionality,https://github.com/COS420-S2025/TeamF/issues/25,a-daniel-pi,Todo,Technical,2,,
,,26,CRUD Form w/Sanitization or Escaping,https://github.com/COS420-S2025/TeamF/issues/26,SillyCatEnthusiast,Done,Technical,1,"Feb 21, 2026","Feb 24, 2026"
,,49,Add props to utilities,https://github.com/COS420-S2025/TeamF/issues/49,"SillyCatEnthusiast, a-daniel-pi",Done,Technical,,,
,,51,Add styling to utilities,https://github.com/COS420-S2025/TeamF/issues/51,"SillyCatEnthusiast, a-daniel-pi",Done,Technical,,,
,,47,Organize test and correct utility components and primitives,https://github.com/COS420-S2025/TeamF/issues/47,Holy-Davisan,Done,Technical,,,
,,48,A naked form /w front-back relationship using json,https://github.com/COS420-S2025/TeamF/issues/48,SillyCatEnthusiast,Done,Technical,,,
,,52,Button utility/primitive,https://github.com/COS420-S2025/TeamF/issues/52,a-daniel-pi,Done,Technical,,,
,,53,Modal utility,https://github.com/COS420-S2025/TeamF/issues/53,a-daniel-pi,Done,Technical,,,
,,50,Add interfaces to utilities,https://github.com/COS420-S2025/TeamF/issues/50,"SillyCatEnthusiast, a-daniel-pi",Done,Technical,,,
,,76,CSS for calendar,https://github.com/COS420-S2025/TeamF/issues/76,"gavinmpierce, Holy-Davisan",Done,Technical,,,
,,74,Create modal component,https://github.com/COS420-S2025/TeamF/issues/74,Holy-Davisan,Done,Technical,,,
,,95,Implement email login,https://github.com/COS420-S2025/TeamF/issues/95,a-daniel-pi,Done,Technical,,,
,,96,Implement online server login,https://github.com/COS420-S2025/TeamF/issues/96,a-daniel-pi,Done,Technical,,,
,,104,Implement modal UI,https://github.com/COS420-S2025/TeamF/issues/104,Holy-Davisan,Done,Technical,,,
,,115,Resolve dependency issues,https://github.com/COS420-S2025/TeamF/issues/115,a-daniel-pi,Done,Technical,,,
,,88,Define base type for events,https://github.com/COS420-S2025/TeamF/issues/88,SillyCatEnthusiast,Done,Technical,,,
,,89,Define base type for todos,https://github.com/COS420-S2025/TeamF/issues/89,SillyCatEnthusiast,Done,Technical,,,
,,93,Find mobile-compatible open-source,https://github.com/COS420-S2025/TeamF/issues/93,Holy-Davisan,Todo,Technical,,,
,,94,Find calendar open-source,https://github.com/COS420-S2025/TeamF/issues/94,Holy-Davisan,Todo,Technical,,,
,,111,Habit tracker ECharts research,https://github.com/COS420-S2025/TeamF/issues/111,,Todo,Non-technical,,,
,,112,React calendar component research,https://github.com/COS420-S2025/TeamF/issues/112,Holy-Davisan,Todo,Non-technical,,,
,,170,Move the Crud Utilities in the modal component file to the utility folder and import it into the modal.,https://github.com/COS420-S2025/TeamF/issues/170,SillyCatEnthusiast,Done,Technical,,,
,,171,Add a Data Folder under source and store the json file there. Call curd operations from that folder.,https://github.com/COS420-S2025/TeamF/issues/171,SillyCatEnthusiast,Done,Technical,,,
,,172,Data Architecture: Redefine Core Objects,https://github.com/COS420-S2025/TeamF/issues/172,"gavinmpierce, TQFrisk",Done,Technical,,,
,,173,Define Task object schema,https://github.com/COS420-S2025/TeamF/issues/173,"gavinmpierce, TQFrisk",Done,Technical,,,
,,174,Define Event object schema,https://github.com/COS420-S2025/TeamF/issues/174,"gavinmpierce, TQFrisk",Done,Technical,,,
,,175,Define TaskEvent object schema,https://github.com/COS420-S2025/TeamF/issues/175,"gavinmpierce, TQFrisk",Done,Technical,,,
,,168,Test of sub issue behavior,https://github.com/COS420-S2025/TeamF/issues/168,,Done,Technical,,,
,,169,All members can absolutely make sub issues.,https://github.com/COS420-S2025/TeamF/issues/169,,Done,Technical,,,
5,Make mockups for UI navigation so that we can discuss how the user will navigate the app,10,User Flows,https://github.com/COS420-S2025/TeamF/issues/10,gavinmpierce,Done,Non-technical,,,
,,11,User Flows,https://github.com/COS420-S2025/TeamF/issues/11,Holy-Davisan,Done,Non-technical,,,
,,15,Task flow diagrams,https://github.com/COS420-S2025/TeamF/issues/15,gavinmpierce,Done,Non-technical,,,
,,22,UI/UX Design,https://github.com/COS420-S2025/TeamF/issues/22,gavinmpierce,Done,Non-technical,5,"Feb 20, 2026","Feb 22, 2026"
6,"As an end-user, I want consistent styling between all of my pages",98,Read events functionality,https://github.com/COS420-S2025/TeamF/issues/98,SillyCatEnthusiast,Done,Technical,,,
,,100,Read tasks functionality,https://github.com/COS420-S2025/TeamF/issues/100,SillyCatEnthusiast,Done,Technical,,,
,,79,Implement task-to-todo functionality,https://github.com/COS420-S2025/TeamF/issues/79,,Todo,Technical,,,
7,"As a user, I want to be able to group tasks into projects, so that I can organize work by context.",114,Integrate task tags,https://github.com/COS420-S2025/TeamF/issues/114,SillyCatEnthusiast,Done,Technical,,,
8,"As a user, I want to see a list of my most commonly missed tasks, so that I can focus harder on that specific task.",,,,,,,,,
9,"As a user, I want dark mode support, so that I can comfortably use the app in low-light environments.",204,Create settings section components scaffold,https://github.com/COS420-S2025/TeamF/issues/204,Holy-Davisan,Done,Technical,,,
,,203,Settings page shell scaffold,https://github.com/COS420-S2025/TeamF/issues/203,Holy-Davisan,Done,Technical,,,
10,"As a user, I want to be able to put an end date on recurring tasks, so that they don't show up after they are no longer occurring",,,,,,,,,
11,"As a user, I want to be able to delete a task without checking it off, so that if that task no longer needs to be done, it isn’t considered missed or done",,,,,,,,,
12,"As a user, I want to be able to mark a task as failed, so that it no longer appears on the to do list, but can be tracked separately from completed tasks",,,,,,,,,
13,"As a user, I want to be able to see all tasks that are overdue but still doable, so that still completable but overdue tasks can be tracked",,,,,,,,,
14,"As a user, I want to be able to create a new task, so I can keep track of something new that I have to do.",99,Create tasks functionality,https://github.com/COS420-S2025/TeamF/issues/99,SillyCatEnthusiast,Done,Technical,,,
,,97,Create events functionality,https://github.com/COS420-S2025/TeamF/issues/97,SillyCatEnthusiast,Done,Technical,,,
15,"As a user, I want to be able to assign colors to tasks on a calendar so that I can quickly understand the distribution of my tasks at a week or month level calendar view.",,,,,,,,,
16,"As a user, I want to be be able to mark tasks as urgent and/or important so that I and my employees can best prioritize tasks.",,,,,,,,,
17,"As a corporate account user, I want to-do lists to have an ‘awaiting reply’ tag by default.",,,,,,,,,
18,"As a private or corporate user, I want tasks to have sub-task options so that I can better mark progress on multi-step processes.",,,,,,,,,
19,"As a private user, I want to be able to add custom tags to tasks and calendar events that I can filter and search.",206,Define edit modal architecture decision,https://github.com/COS420-S2025/TeamF/issues/206,a-daniel-pi,Todo,Technical,,,
,,205,Enable multi-tag selection in task modal,https://github.com/COS420-S2025/TeamF/issues/205,a-daniel-pi,Done,Technical,,,
20,"As a private user, I want to be able to make tasks a ‘habit’ that regularly repeat and start and expire on the same day, and I also want successful days completing habits to be viewable on the calendar.",200,Create monthly habit tracker grid,https://github.com/COS420-S2025/TeamF/issues/200,"gavinmpierce, Holy-Davisan",Done,Technical,,,
,,199,Implement habit progress component,https://github.com/COS420-S2025/TeamF/issues/199,"gavinmpierce, Holy-Davisan",Todo,Technical,,,
21,"As a user, I want the calendar to highlight the current date and time slot (to the nearest half hour).",193,Add current time line and highlight,https://github.com/COS420-S2025/TeamF/issues/193,"a-daniel-pi, Holy-Davisan, SillyCatEnthusiast",Done,Technical,,,
,,194,Make calendar cells time-aware,https://github.com/COS420-S2025/TeamF/issues/194,"a-daniel-pi, Holy-Davisan, SillyCatEnthusiast",Done,Technical,,,
22,"As a corporate user, I want the ability to filter tasks by timeframe so that I can put month end tasks on a calendar in advance but I won’t see those tasks before the month-end financial reporting period begins.",,,,,,,,,
23,"As a user, I want the ability to have an option for top three tasks because sometimes I have a long list of tasks I need to do, but life happens and I want to say a day was productive because I just focused on three big things.",,,,,,,,,
24,"As a user newer to scheduling, I want a place where I can record estimated time to complete vs actual time to complete tasks so I can become better at scheduling time by the hour.",,,,,,,,,
25,As a user i want an FAQ page,54,As a user I want a FAQ page,https://github.com/COS420-S2025/TeamF/issues/54,TQFrisk,Done,Technical,,,
,,46,Create a simple (no style button component) faq view component,https://github.com/COS420-S2025/TeamF/issues/46,TQFrisk,Done,Technical,,,
,,141,FAQ View Not Restored,https://github.com/COS420-S2025/TeamF/issues/141,"a-daniel-pi, Holy-Davisan",Done,Technical,,,
,,201,Implement FAQ content and structure,https://github.com/COS420-S2025/TeamF/issues/201,"gavinmpierce, Holy-Davisan",Done,Technical,,,
,,202,Improve FAQ styling and responsiveness,https://github.com/COS420-S2025/TeamF/issues/202,"gavinmpierce, Holy-Davisan",Done,Technical,,,
26,As a user i want to hide other answers on an FAQ page,55,As a user I want To hide other answers on the FAQ page,https://github.com/COS420-S2025/TeamF/issues/55,TQFrisk,Todo,Technical,,,
27,As a user i want to see a month view of the calendar,56,As a user I want to see a month view of the calendar,https://github.com/COS420-S2025/TeamF/issues/56,,Todo,Technical,,,
28,As a user i want to see a weekly view of the calendar,58,As a user I want a week view,https://github.com/COS420-S2025/TeamF/issues/58,,Todo,Technical,,,
29,As a user i want to see a daily view of the calendar,57,As a user I want to see a day view,https://github.com/COS420-S2025/TeamF/issues/57,,Todo,Technical,,,
,,136,Day View Has funky code breaking the parent-container and still lacks css.,https://github.com/COS420-S2025/TeamF/issues/136,,Done,Technical,,,
,,191,Day View and Calendar UI Improvements,https://github.com/COS420-S2025/TeamF/issues/191,"a-daniel-pi, Holy-Davisan, SillyCatEnthusiast",Done,Technical,,,
30,As a user i want to be able to change the time scale of the calendar,59,As a user I want to be able to see the calendar events organized according,https://github.com/COS420-S2025/TeamF/issues/59,,Todo,Technical,,,
,,60,"As a user, I want to change the timeframe of each calendar view",https://github.com/COS420-S2025/TeamF/issues/60,,Done,Technical,,,
,,61,As a user I want a task page,https://github.com/COS420-S2025/TeamF/issues/61,,Done,Technical,,,
,,135,Calendar view has a filled header cell where a blank shell should be. (Cell will offset the week so it starts after the time column,https://github.com/COS420-S2025/TeamF/issues/135,,Done,Technical,,,
,,192,Implement sticky time-based event placement,https://github.com/COS420-S2025/TeamF/issues/192,"a-daniel-pi, Holy-Davisan, SillyCatEnthusiast",Done,Technical,,,
,,195,Implement calendar view toggle,https://github.com/COS420-S2025/TeamF/issues/195,"a-daniel-pi, Holy-Davisan, SillyCatEnthusiast",Done,Technical,,,
31,"As a user I want to be able to click on a checkbox and have it switch between empty, checked and crossed off",166,Flow from task to task page,https://github.com/COS420-S2025/TeamF/issues/166,,Todo,Technical,,,
,,101,Implement task page,https://github.com/COS420-S2025/TeamF/issues/101,Holy-Davisan,Todo,Technical,,,
,,165,checkbox,https://github.com/COS420-S2025/TeamF/issues/165,,Todo,Technical,,,
,,167,Move checkbox state from taskpage level to task object level,https://github.com/COS420-S2025/TeamF/issues/167,,Todo,Technical,,,
32,"As a user I want to be able to create new tasks that can be event, a todo or both",,,,,,,,,
33,Create tests,75,Write tests for modal,https://github.com/COS420-S2025/TeamF/issues/75,Holy-Davisan,Todo,Technical,,,
,,105,Test modal UI,https://github.com/COS420-S2025/TeamF/issues/105,Holy-Davisan,Todo,Technical,,,
,,106,Write tests for events,https://github.com/COS420-S2025/TeamF/issues/106,Holy-Davisan,Todo,Technical,,,
,,107,Write tests for tasks,https://github.com/COS420-S2025/TeamF/issues/107,a-daniel-pi,Todo,Technical,,,
,,119,Test mobile calendar integration,https://github.com/COS420-S2025/TeamF/issues/119,,Todo,Technical,,,
,,120,Test online login save,https://github.com/COS420-S2025/TeamF/issues/120,SillyCatEnthusiast,Todo,Technical,,,
,,144,Test Task Creation,https://github.com/COS420-S2025/TeamF/issues/144,,Todo,Technical,,,
,,145,Test Feature Creation,https://github.com/COS420-S2025/TeamF/issues/145,,Todo,Technical,,,
,,146,Test Task Creation,https://github.com/COS420-S2025/TeamF/issues/146,,Todo,Technical,,,
,,147,Test Feature Creation,https://github.com/COS420-S2025/TeamF/issues/147,,Todo,Technical,,,
,,148,Test Bug Creation,https://github.com/COS420-S2025/TeamF/issues/148,,Todo,Technical,,,
,,130,Add additional tests,https://github.com/COS420-S2025/TeamF/issues/130,a-daniel-pi,Todo,Technical,,,
,,62,Setup CI with GitHub Actions: Verify failing tests prevent merge,https://github.com/COS420-S2025/TeamF/issues/62,Holy-Davisan,Done,Technical,,,
,,63,Setup CI with GitHub Actions: Create GitHub Actions workflow,https://github.com/COS420-S2025/TeamF/issues/63,Holy-Davisan,Done,Technical,,,
,,81,Measure clicks vs typing,https://github.com/COS420-S2025/TeamF/issues/81,,Todo,Technical,,,
,,121,Prepare deployment scripts,https://github.com/COS420-S2025/TeamF/issues/121,Holy-Davisan,Todo,Technical,,,
34,"As a user, I want edits to the task of a combined task and event edit the event and vice versa",,,,,,,,,
35,As a user I dont want to see other users tasks,,,,,,,,,
36,"As a user, I want my to-do to be organized by date",,,,,,,,,
37,Setup database connectivity,214,Define edit modal scope to prevent scope creep,https://github.com/COS420-S2025/TeamF/issues/214,"gavinmpierce, TQFrisk",,Non-technical,,,
,,178,Auth and Firebase Connectivity Setup,https://github.com/COS420-S2025/TeamF/issues/178,"SillyCatEnthusiast, TQFrisk",,Technical,,,
,,179,Initialize Firebase project configuration,https://github.com/COS420-S2025/TeamF/issues/179,"SillyCatEnthusiast, TQFrisk",,Technical,,,
,,180,Build login modal component,https://github.com/COS420-S2025/TeamF/issues/180,"SillyCatEnthusiast, TQFrisk",,Technical,,,
,,181,Integrate login modal with Firebase auth,https://github.com/COS420-S2025/TeamF/issues/181,"SillyCatEnthusiast, TQFrisk",,Technical,,,
,,182,Create authentication state hook,https://github.com/COS420-S2025/TeamF/issues/182,"SillyCatEnthusiast, TQFrisk",,Technical,,,
,,212,Resolve Firebase vs Supabase decision blocker,https://github.com/COS420-S2025/TeamF/issues/212,"gavinmpierce, TQFrisk",,Non-technical,,,
,,196,Build login modal UI shell,https://github.com/COS420-S2025/TeamF/issues/196,"a-daniel-pi, Holy-Davisan, SillyCatEnthusiast",,Technical,,,
