User Story ID,User Story,Task ID,Title,URL,Assignees,Status,Estimate,Start date,Target date
15,"As a corporate or a private user, I want to be able to assign colors to tasks on a calendar so that I can quickly understand the distribution of my tasks at a week or month level calendar view.",,,,,,,,
16,"As a corporate manager, I want to be be able to mark tasks as urgent and/or important so that I and my employees can best prioritize tasks.",,,,,,,,
17,"As a corporate account user, I want to-do lists to have an ‘awaiting reply’ tag by default.",,,,,,,,
18,"As a private or corporate user, I want tasks to have sub-task options so that I can better mark progress on multi-step processes.",,,,,,,,
19,"As a private user, I want to be able to add custom tags to tasks and calendar events that I can filter and search.",,,,,,,,
20,"As a private user, I want to be able to make tasks a ‘habit’ that regularly repeat and start and expire on the same day, and I also want successful days completing habits to be viewable on the calendar.",,,,,,,,
21,"As a user, I want the calendar to highlight the current date and time slot (to the nearest half hour).",,,,,,,,
22,"As a corporate user, I want the ability to filter tasks by timeframe so that I can put month end tasks on a calendar in advance but I won’t see those tasks before the month-end financial reporting period begins.",,,,,,,,
23,"As a user, I want the ability to have an option for top three tasks because sometimes I have a long list of tasks I need to do, but life happens and I want to say a day was productive because I just focused on three big things.",,,,,,,,
24,"As a user newer to scheduling, I want a place where I can record estimated time to complete vs actual time to complete tasks so I can become better at scheduling time by the hour.",,,,,,,,
25,As a user i want an FAQ page,,As a user I want a FAQ page,https://github.com/COS420-S2025/TeamF/issues/54,TQFrisk,Done,,,
,,,Create a simple (no style button component) faq view component,https://github.com/COS420-S2025/TeamF/issues/46,TQFrisk,,,,
26,As a user i want to hide other answers on an FAQ page,,As a user I want To hide other answers on the FAQ page,https://github.com/COS420-S2025/TeamF/issues/55,TQFrisk,Todo,,,
27,As a user i want to see a month view of the calendar,,As a user I want to see a month view of the calendar,https://github.com/COS420-S2025/TeamF/issues/56,,Todo,,,
28,As a user i want to see a weekly view of the calendar,,As a user I want a week view,https://github.com/COS420-S2025/TeamF/issues/58,,Todo,,,
29,As a user i want to see a daily view of the calendar,,As a user I want to see a day view,https://github.com/COS420-S2025/TeamF/issues/57,,Todo,,,
30,As a user i want to be able to change the time scale of the calendar,,As a user I want to be able to see the calendar events organized according,https://github.com/COS420-S2025/TeamF/issues/59,,Todo,,,
,,,"As a user, I want to change the timeframe of each calendar view",https://github.com/COS420-S2025/TeamF/issues/60,,,,,
,,,As a user I want a task page,https://github.com/COS420-S2025/TeamF/issues/61,,,,,
,,,,,,,,,
,,,,,,Todo,,,
,,,,,,Todo,,,
,,,,,,Todo,,,
,,,,,,Todo,,,
